,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,team,year
163,Kyle Bernlohr,G,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,14.0,5.0,1.0,0.0,0.0,,Whipsnakes LC,2019
164,Matt Dunn,D,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,6.0,3.0,0.0,0.0,,Whipsnakes LC,2019
165,Totals,,186.0,113.0,71.0,196.0,0.0,0.0,0.0,0.0,442.0,246.0,25.6,45.9,276.0,102.0,55.0,257.0,133.0,51.8,Whipsnakes LC,2019
166,Grant Ament,A,6.0,6.0,14.0,20.0,0.5,0.0,0.0,0.0,25.0,18.0,24.0,33.3,11.0,13.0,0.0,0.0,0.0,,Archers LC,2020
167,Tom Schreiber,"M,F",6.0,12.0,4.0,16.0,0.0,0.0,0.0,0.0,29.0,21.0,41.4,57.1,6.0,14.0,0.0,0.0,0.0,,Archers LC,2020
168,Will Manny,A,6.0,10.0,4.0,14.0,0.0,1.0,0.0,0.0,39.0,28.0,25.6,35.7,7.0,10.0,0.0,0.0,0.0,,Archers LC,2020
169,Christian Mazzone,M,6.0,9.0,0.0,9.0,0.5,0.0,0.0,0.0,13.0,12.0,69.2,75.0,9.0,4.0,1.0,0.0,0.0,,Archers LC,2020
170,Ryan Ambler,A,6.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,19.0,12.0,21.1,33.3,0.0,2.0,2.0,0.0,0.0,,Archers LC,2020
171,Marcus Holman,"F,A",6.0,6.0,1.0,7.0,1.5,1.0,0.0,0.0,26.0,17.0,23.1,35.3,14.0,3.0,3.0,0.0,0.0,,Archers LC,2020
172,Josh Currier,F,6.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,14.0,11.0,42.9,54.5,2.0,2.0,1.0,0.0,0.0,,Archers LC,2020
173,Scott Ratliff,D,6.0,3.0,3.0,6.0,0.5,0.0,0.0,0.0,8.0,5.0,37.5,60.0,17.0,2.0,5.0,0.0,0.0,,Archers LC,2020
174,Joey Sankey,A,6.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,9.0,5.0,33.3,60.0,1.0,3.0,0.0,0.0,0.0,,Archers LC,2020
175,Ian MacKay,M,6.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,21.0,12.0,14.3,25.0,4.0,6.0,0.0,3.0,1.0,33.3,Archers LC,2020
176,Brendan Fowler,M,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,50.0,50.0,13.0,3.0,0.0,66.0,31.0,47.0,Archers LC,2020
177,Eli Gobrecht,D,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,12.0,2.0,4.0,0.0,0.0,,Archers LC,2020
178,Jack Rapine,D,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,2.0,0.0,0.0,,Archers LC,2020
179,Dominique Alexander,M,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,2.0,0.0,0.0,,Archers LC,2020
