,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,team,year
0,Tom Schreiber,M,10.0,17.0,18.0,37.0,,0.0,0.0,0.0,59.0,29.0,28.8,58.6,9.0,22.0,1.0,0.0,0.0,,Archers LC,2019
1,Marcus Holman,A,10.0,23.0,7.0,32.0,,0.0,0.0,0.0,74.0,43.0,31.1,53.5,17.0,19.0,0.0,0.0,0.0,,Archers LC,2019
2,Will Manny,A,10.0,22.0,7.0,30.0,,0.0,0.0,0.0,74.0,50.0,29.7,44.0,7.0,20.0,1.0,0.0,0.0,,Archers LC,2019
3,Ben McIntosh,M,10.0,11.0,2.0,13.0,,0.0,0.0,0.0,44.0,27.0,25.0,40.7,7.0,7.0,0.0,0.0,0.0,,Archers LC,2019
4,Christian Cuccinello,A,8.0,8.0,4.0,12.0,,0.0,0.0,0.0,28.0,17.0,28.6,47.1,10.0,7.0,0.0,0.0,0.0,,Archers LC,2019
5,Ryan Ambler,A,9.0,3.0,7.0,10.0,,0.0,0.0,0.0,14.0,6.0,21.4,50.0,5.0,6.0,0.0,0.0,0.0,,Archers LC,2019
6,Daniel Eipp,M,9.0,5.0,4.0,9.0,,0.0,0.0,0.0,19.0,12.0,26.3,41.7,3.0,4.0,1.0,0.0,0.0,,Archers LC,2019
7,Joey Sankey,A,5.0,4.0,5.0,9.0,,0.0,0.0,0.0,29.0,19.0,13.8,21.1,8.0,6.0,1.0,0.0,0.0,,Archers LC,2019
8,Kevin Rice,A,6.0,3.0,4.0,7.0,,0.0,0.0,0.0,27.0,17.0,11.1,17.6,4.0,7.0,0.0,0.0,0.0,,Archers LC,2019
9,Stephen Kelly,FO,10.0,3.0,4.0,7.0,,0.0,0.0,0.0,8.0,7.0,37.5,42.9,58.0,5.0,0.0,192.0,94.0,49.0,Archers LC,2019
10,Scott Ratliff,LSM,10.0,2.0,2.0,4.0,,0.0,0.0,0.0,15.0,6.0,13.3,33.3,29.0,8.0,13.0,8.0,1.0,12.5,Archers LC,2019
11,Ian MacKay,M,4.0,2.0,1.0,3.0,,0.0,0.0,0.0,11.0,7.0,18.2,28.6,1.0,3.0,0.0,0.0,0.0,,Archers LC,2019
12,Austin Sims,M,3.0,2.0,0.0,2.0,,0.0,0.0,0.0,12.0,6.0,16.7,33.3,1.0,2.0,0.0,0.0,0.0,,Archers LC,2019
13,Michael Simon,D,7.0,1.0,0.0,2.0,,0.0,0.0,0.0,6.0,3.0,16.7,33.3,6.0,0.0,3.0,2.0,0.0,0.0,Archers LC,2019
14,Tyler Pfister,M,8.0,0.0,2.0,2.0,,0.0,0.0,0.0,6.0,3.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,,Archers LC,2019
15,Dominique Alexander,M,10.0,0.0,1.0,1.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,15.0,2.0,5.0,0.0,0.0,,Archers LC,2019
16,Michael Noone,D,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,1.0,0.0,0.0,,Archers LC,2019
17,Steven Waldeck,D,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Archers LC,2019
18,Davey Emala,A,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Archers LC,2019
19,Evan Connell,D,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,,Archers LC,2019
20,Goran Murray,D,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,1.0,0.0,0.0,,Archers LC,2019
21,Nicholas Tintle,M,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,,Archers LC,2019
22,Brendan Fowler,M,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,2.0,0.0,0.0,9.0,1.0,0.0,41.0,18.0,43.9,Archers LC,2019
23,Curtis Corley,D,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,6.0,2.0,1.0,0.0,0.0,,Archers LC,2019
24,Drew Adams,G,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,7.0,0.0,1.0,0.0,0.0,,Archers LC,2019
25,Adam Ghitelman,G,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,3.0,1.0,0.0,0.0,,Archers LC,2019
26,Mark McNeill,M,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,18.0,3.0,3.0,0.0,0.0,,Archers LC,2019
27,Jackson Place,D,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,22.0,1.0,12.0,0.0,0.0,,Archers LC,2019
28,Matt McMahon,D,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,,23.0,3.0,11.0,0.0,0.0,,Archers LC,2019
29,Totals,,197.0,106.0,68.0,180.0,0.0,0.0,0.0,0.0,439.0,259.0,24.1,40.9,287.0,133.0,57.0,243.0,113.0,46.5,Archers LC,2019
30,Eric Law,A,10.0,20.0,10.0,30.0,,0.0,0.0,0.0,34.0,29.0,58.8,69.0,14.0,8.0,0.0,0.0,0.0,,Atlas LC,2019
31,Ryan Brown,A,10.0,21.0,3.0,25.0,,0.0,0.0,0.0,81.0,46.0,25.9,45.7,8.0,10.0,2.0,0.0,0.0,,Atlas LC,2019
32,Kieran McArdle,A,10.0,12.0,13.0,25.0,,0.0,0.0,0.0,43.0,31.0,27.9,38.7,5.0,18.0,0.0,0.0,0.0,,Atlas LC,2019
33,Paul Rabil,M,10.0,11.0,11.0,23.0,,0.0,0.0,0.0,47.0,27.0,23.4,40.7,8.0,17.0,2.0,0.0,0.0,,Atlas LC,2019
34,Connor Buczek,M,10.0,16.0,4.0,22.0,,0.0,0.0,0.0,64.0,42.0,25.0,38.1,6.0,13.0,2.0,0.0,0.0,,Atlas LC,2019
35,Chris Cloutier,A,7.0,9.0,5.0,14.0,,0.0,0.0,0.0,27.0,17.0,33.3,52.9,10.0,10.0,1.0,0.0,0.0,,Atlas LC,2019
36,Joel Tinney,M,10.0,6.0,8.0,14.0,,0.0,0.0,0.0,23.0,17.0,26.1,35.3,8.0,6.0,2.0,0.0,0.0,,Atlas LC,2019
37,John Crawley,M,7.0,5.0,3.0,8.0,,0.0,0.0,0.0,17.0,10.0,29.4,50.0,2.0,3.0,1.0,0.0,0.0,,Atlas LC,2019
38,Kyle Hartzell,LSM,10.0,2.0,6.0,8.0,,0.0,0.0,0.0,14.0,7.0,14.3,28.6,16.0,7.0,6.0,2.0,1.0,50.0,Atlas LC,2019
39,Trevor Baptiste,FO,10.0,3.0,3.0,7.0,,0.0,0.0,0.0,15.0,4.0,20.0,75.0,73.0,10.0,3.0,261.0,164.0,62.8,Atlas LC,2019
40,Cade Van Raaphorst,LSM,9.0,3.0,1.0,6.0,,0.0,0.0,0.0,9.0,4.0,33.3,75.0,17.0,2.0,8.0,0.0,0.0,,Atlas LC,2019
41,Kevin Unterstein,M,10.0,3.0,2.0,5.0,,0.0,0.0,0.0,8.0,3.0,37.5,100.0,23.0,3.0,3.0,0.0,0.0,,Atlas LC,2019
42,Noah Richard,LSM,9.0,3.0,0.0,4.0,,0.0,0.0,0.0,3.0,3.0,100.0,100.0,23.0,0.0,4.0,8.0,2.0,25.0,Atlas LC,2019
43,Jacob Richard,M,10.0,1.0,2.0,3.0,,0.0,0.0,0.0,3.0,2.0,33.3,50.0,16.0,3.0,4.0,0.0,0.0,,Atlas LC,2019
44,Steve DeNapoli,M,7.0,0.0,2.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,,6.0,1.0,1.0,0.0,0.0,,Atlas LC,2019
45,Andrew Hodgson,M,2.0,1.0,0.0,1.0,,0.0,0.0,0.0,3.0,2.0,33.3,50.0,4.0,2.0,2.0,0.0,0.0,,Atlas LC,2019
46,James Pannell,A,2.0,1.0,0.0,1.0,,0.0,0.0,0.0,4.0,3.0,25.0,33.3,0.0,0.0,0.0,0.0,0.0,,Atlas LC,2019
47,Steven Brooks,M,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Atlas LC,2019
48,Pat Young,M,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,Atlas LC,2019
49,Scott Rodgers,G,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Atlas LC,2019
50,Ryan Conrad,M,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,,8.0,4.0,2.0,0.0,0.0,,Atlas LC,2019
51,Callum Robinson,D,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,10.0,4.0,2.0,0.0,0.0,,Atlas LC,2019
52,Tucker Durkin,D,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,18.0,1.0,2.0,0.0,0.0,,Atlas LC,2019
53,Jack Concannon,G,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,12.0,3.0,1.0,0.0,0.0,,Atlas LC,2019
54,Austin Pifani,D,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,11.0,2.0,3.0,0.0,0.0,,Atlas LC,2019
55,Totals,,189.0,117.0,73.0,198.0,0.0,0.0,0.0,0.0,402.0,248.0,29.1,47.2,298.0,127.0,51.0,271.0,167.0,61.6,Atlas LC,2019
56,Connor Fields,A,10.0,22.0,11.0,33.0,,0.0,0.0,0.0,61.0,49.0,36.1,44.9,15.0,37.0,4.0,0.0,0.0,,Chaos LC,2019
57,Jake Froccaro,M,10.0,14.0,10.0,27.0,,0.0,0.0,0.0,56.0,35.0,25.0,40.0,17.0,7.0,4.0,5.0,0.0,0.0,Chaos LC,2019
58,Josh Byrne,A,8.0,17.0,8.0,25.0,,0.0,0.0,0.0,39.0,25.0,43.6,68.0,11.0,7.0,3.0,0.0,0.0,,Chaos LC,2019
59,Myles Jones,M,9.0,7.0,10.0,18.0,,0.0,0.0,0.0,43.0,19.0,16.3,36.8,9.0,20.0,3.0,0.0,0.0,,Chaos LC,2019
60,Miles Thompson,A,7.0,11.0,6.0,17.0,,0.0,0.0,0.0,28.0,17.0,39.3,64.7,7.0,5.0,1.0,0.0,0.0,,Chaos LC,2019
61,Deemer Class,M,9.0,10.0,3.0,13.0,,0.0,0.0,0.0,32.0,18.0,31.3,55.6,3.0,8.0,1.0,0.0,0.0,,Chaos LC,2019
62,Eric Scott,A,9.0,7.0,3.0,10.0,,0.0,0.0,0.0,22.0,12.0,31.8,58.3,6.0,7.0,1.0,0.0,0.0,,Chaos LC,2019
63,Jarrod Neumann,D,10.0,5.0,0.0,10.0,,0.0,0.0,0.0,14.0,7.0,35.7,71.4,15.0,7.0,5.0,0.0,0.0,,Chaos LC,2019
64,Kevin Buchanan,M,9.0,8.0,1.0,9.0,,0.0,0.0,0.0,23.0,13.0,34.8,61.5,5.0,1.0,2.0,0.0,0.0,,Chaos LC,2019
65,Troy Reh,LSM,10.0,4.0,2.0,7.0,,0.0,0.0,0.0,10.0,6.0,40.0,66.7,14.0,6.0,4.0,14.0,0.0,0.0,Chaos LC,2019
66,Matt Rees,LSM,7.0,4.0,0.0,6.0,,0.0,0.0,0.0,10.0,4.0,40.0,100.0,6.0,3.0,3.0,0.0,0.0,,Chaos LC,2019
67,Mark Glicini,M,10.0,2.0,3.0,5.0,,0.0,0.0,0.0,7.0,4.0,28.6,50.0,18.0,4.0,6.0,0.0,0.0,,Chaos LC,2019
68,Dhane Smith,M,5.0,2.0,2.0,4.0,,0.0,0.0,0.0,8.0,6.0,25.0,33.3,0.0,2.0,0.0,0.0,0.0,,Chaos LC,2019
69,Kyle McClancy,M,10.0,1.0,3.0,4.0,,0.0,0.0,0.0,4.0,3.0,25.0,33.3,14.0,2.0,4.0,0.0,0.0,,Chaos LC,2019
70,Mike Bocklet,A,2.0,1.0,2.0,3.0,,0.0,0.0,0.0,4.0,2.0,25.0,50.0,1.0,1.0,1.0,0.0,0.0,,Chaos LC,2019
71,Thomas Kelly,FO,10.0,2.0,0.0,2.0,,0.0,0.0,0.0,7.0,5.0,28.6,40.0,70.0,13.0,2.0,252.0,131.0,52.0,Chaos LC,2019
72,Jack Rowlett,D,10.0,0.0,2.0,2.0,,0.0,0.0,0.0,3.0,2.0,0.0,0.0,11.0,4.0,8.0,7.0,2.0,28.6,Chaos LC,2019
73,Patrick Resch,M,9.0,1.0,0.0,1.0,,0.0,0.0,0.0,3.0,2.0,33.3,50.0,6.0,0.0,1.0,0.0,0.0,,Chaos LC,2019
74,Greyson Torain,M,6.0,0.0,1.0,1.0,,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,3.0,0.0,0.0,0.0,,Chaos LC,2019
75,Dan Coates,D,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,,Chaos LC,2019
76,Joey Resetarits,A,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Chaos LC,2019
77,Jeremy Thompson,M,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,Chaos LC,2019
78,Johnny Surdick,D,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,4.0,0.0,0.0,,Chaos LC,2019
79,Blaze Riorden,G,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,22.0,3.0,2.0,0.0,0.0,,Chaos LC,2019
80,Brodie Merrill,D,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,6.0,6.0,0.0,0.0,,Chaos LC,2019
81,Totals,,192.0,118.0,67.0,197.0,0.0,0.0,0.0,0.0,382.0,234.0,30.9,50.4,294.0,147.0,65.0,281.0,133.0,47.3,Chaos LC,2019
82,Justin Guterding,A,10.0,20.0,14.0,35.0,,0.0,0.0,0.0,62.0,38.0,32.3,52.6,15.0,18.0,0.0,0.0,0.0,,Chrome LC,2019
83,Jordan Wolf,A,10.0,16.0,16.0,32.0,,0.0,0.0,0.0,65.0,38.0,24.6,42.1,12.0,24.0,1.0,0.0,0.0,,Chrome LC,2019
84,Ned Crotty,M,10.0,17.0,9.0,27.0,,0.0,0.0,0.0,46.0,29.0,37.0,58.6,4.0,14.0,0.0,0.0,0.0,,Chrome LC,2019
85,Jordan Macintosh,M,8.0,20.0,2.0,22.0,,0.0,0.0,0.0,46.0,33.0,43.5,60.6,26.0,13.0,3.0,5.0,0.0,0.0,Chrome LC,2019
86,John Ranagan,M,10.0,12.0,3.0,17.0,,0.0,0.0,0.0,32.0,21.0,37.5,57.1,3.0,7.0,3.0,0.0,0.0,,Chrome LC,2019
87,Matt Danowski,M,9.0,8.0,6.0,15.0,,0.0,0.0,0.0,35.0,20.0,22.9,40.0,3.0,8.0,1.0,0.0,0.0,,Chrome LC,2019
88,Simon Mathias,A,7.0,6.0,1.0,7.0,,0.0,0.0,0.0,26.0,16.0,23.1,37.5,5.0,5.0,0.0,0.0,0.0,,Chrome LC,2019
89,Max Tuttle,M,8.0,5.0,2.0,7.0,,0.0,0.0,0.0,33.0,15.0,15.2,33.3,12.0,5.0,5.0,2.0,0.0,0.0,Chrome LC,2019
90,Romar Dennis,M,10.0,4.0,1.0,6.0,,0.0,0.0,0.0,24.0,8.0,16.7,50.0,7.0,4.0,2.0,0.0,0.0,,Chrome LC,2019
91,Will Haus,M,9.0,4.0,0.0,4.0,,0.0,0.0,0.0,11.0,8.0,36.4,50.0,17.0,4.0,4.0,0.0,0.0,,Chrome LC,2019
92,Ty Thompson,A,3.0,2.0,1.0,3.0,,0.0,0.0,0.0,5.0,4.0,40.0,50.0,1.0,1.0,0.0,0.0,0.0,,Chrome LC,2019
93,Joel White,D,8.0,1.0,2.0,3.0,,0.0,0.0,0.0,8.0,3.0,12.5,33.3,46.0,8.0,7.0,0.0,0.0,,Chrome LC,2019
94,Mike Manley,D,9.0,1.0,1.0,3.0,,0.0,0.0,0.0,1.0,1.0,100.0,100.0,15.0,2.0,8.0,0.0,0.0,,Chrome LC,2019
95,Drew Simoneau,FO,5.0,1.0,1.0,2.0,,0.0,0.0,0.0,2.0,1.0,50.0,100.0,13.0,1.0,0.0,64.0,28.0,43.8,Chrome LC,2019
96,Connor Farrell,FO,10.0,1.0,1.0,2.0,,0.0,0.0,0.0,7.0,3.0,14.3,33.3,70.0,7.0,2.0,209.0,114.0,54.5,Chrome LC,2019
97,John Moderski,D,5.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,100.0,100.0,12.0,2.0,5.0,0.0,0.0,,Chrome LC,2019
98,Mike O'Neil,M,7.0,1.0,0.0,1.0,,0.0,0.0,0.0,4.0,3.0,25.0,33.3,11.0,2.0,4.0,1.0,0.0,0.0,Chrome LC,2019
99,John Prendergast,M,6.0,0.0,1.0,1.0,,0.0,0.0,0.0,2.0,0.0,0.0,,3.0,1.0,1.0,0.0,0.0,,Chrome LC,2019
100,Luke Duprey,D,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,,Chrome LC,2019
101,Chris Bocklet,A,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,Chrome LC,2019
102,BJ Grill,D,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,0.0,,Chrome LC,2019
103,Brandon Mullins,D,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,5.0,3.0,3.0,0.0,0.0,,Chrome LC,2019
104,Alec Tulett,D,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,4.0,2.0,0.0,0.0,,Chrome LC,2019
105,Joe Fletcher,D,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,9.0,1.0,6.0,0.0,0.0,,Chrome LC,2019
106,Brett Queener,G,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,7.0,2.0,1.0,0.0,0.0,,Chrome LC,2019
107,Ryan Flanagan,D,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,15.0,3.0,4.0,0.0,0.0,,Chrome LC,2019
108,Chris Sabia,D,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,2.0,5.0,0.0,0.0,,Chrome LC,2019
109,John Galloway,G,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,16.0,2.0,1.0,0.0,0.0,,Chrome LC,2019
110,Totals,,194.0,120.0,61.0,188.0,0.0,0.0,0.0,0.0,415.0,246.0,28.9,48.8,352.0,143.0,70.0,281.0,142.0,50.5,Chrome LC,2019
111,Jules Heningburg,A,10.0,21.0,12.0,33.0,,0.0,0.0,0.0,54.0,32.0,38.9,65.6,8.0,21.0,0.0,0.0,0.0,,Redwoods LC,2019
112,Matt Kavanagh,A,9.0,15.0,8.0,24.0,,0.0,0.0,0.0,54.0,36.0,27.8,41.7,14.0,10.0,2.0,0.0,0.0,,Redwoods LC,2019
113,Ryder Garnsey,A,9.0,14.0,10.0,24.0,,0.0,0.0,0.0,40.0,28.0,35.0,50.0,11.0,13.0,1.0,0.0,0.0,,Redwoods LC,2019
114,Sergio Salcido,M,9.0,10.0,9.0,20.0,,0.0,0.0,0.0,43.0,20.0,23.3,50.0,10.0,5.0,0.0,0.0,0.0,,Redwoods LC,2019
115,Joe Walters,M,10.0,9.0,11.0,20.0,,0.0,0.0,0.0,42.0,26.0,21.4,34.6,5.0,18.0,0.0,0.0,0.0,,Redwoods LC,2019
116,Clarke Petterson,A,7.0,9.0,3.0,12.0,,0.0,0.0,0.0,22.0,12.0,40.9,75.0,7.0,5.0,1.0,0.0,0.0,,Redwoods LC,2019
